max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy
1,sqrt,4,2,50,0.596078431372549
1,sqrt,4,2,100,0.5882352941176471
1,sqrt,4,2,1000,0.6078431372549019
1,sqrt,4,5,1,0.5686274509803921
1,sqrt,4,5,2,0.592156862745098
1,sqrt,4,5,3,0.592156862745098
1,sqrt,4,5,4,0.611764705882353
1,sqrt,4,5,5,0.6235294117647059
1,sqrt,4,5,6,0.6039215686274509
1,sqrt,4,5,7,0.5843137254901961
1,sqrt,4,5,8,0.6196078431372549
1,sqrt,4,5,9,0.615686274509804
1,sqrt,4,5,10,0.6235294117647059
1,sqrt,4,5,11,0.6235294117647059
1,sqrt,4,5,12,0.6313725490196078
1,sqrt,4,5,13,0.6274509803921569
1,sqrt,4,5,14,0.615686274509804
1,sqrt,4,5,15,0.5882352941176471
1,sqrt,4,5,16,0.6274509803921569
1,sqrt,4,5,50,0.6352941176470588
1,sqrt,4,5,100,0.5843137254901961
1,sqrt,4,5,1000,0.596078431372549
1,sqrt,4,10,1,0.6078431372549019
1,sqrt,4,10,2,0.5725490196078431
1,sqrt,4,10,3,0.596078431372549
1,sqrt,4,10,4,0.6274509803921569
1,sqrt,4,10,5,0.6039215686274509
1,sqrt,4,10,6,0.611764705882353
1,sqrt,4,10,7,0.5725490196078431
1,sqrt,4,10,8,0.6039215686274509
1,sqrt,4,10,9,0.5803921568627451
1,sqrt,4,10,10,0.5803921568627451
1,sqrt,4,10,11,0.6392156862745098
1,sqrt,4,10,12,0.6196078431372549
1,sqrt,4,10,13,0.6196078431372549
1,sqrt,4,10,14,0.611764705882353
1,sqrt,4,10,15,0.6352941176470588
1,sqrt,4,10,16,0.592156862745098
1,sqrt,4,10,50,0.596078431372549
1,sqrt,4,10,100,0.6
1,sqrt,4,10,1000,0.6039215686274509
1,log2,1,2,1,0.6
1,log2,1,2,2,0.596078431372549
1,log2,1,2,3,0.5764705882352941
1,log2,1,2,4,0.6039215686274509
1,log2,1,2,5,0.6039215686274509
1,log2,1,2,6,0.611764705882353
1,log2,1,2,7,0.5843137254901961
1,log2,1,2,8,0.6196078431372549
1,log2,1,2,9,0.5882352941176471
1,log2,1,2,10,0.615686274509804
1,log2,1,2,11,0.6392156862745098
1,log2,1,2,12,0.6039215686274509
1,log2,1,2,13,0.6274509803921569
1,log2,1,2,14,0.596078431372549
1,log2,1,2,15,0.6274509803921569
1,log2,1,2,16,0.6
1,log2,1,2,50,0.6039215686274509
1,log2,1,2,100,0.6078431372549019
1,log2,1,2,1000,0.596078431372549
1,log2,1,5,1,0.5607843137254902
1,log2,1,5,2,0.596078431372549
1,log2,1,5,3,0.6078431372549019
1,log2,1,5,4,0.611764705882353
1,log2,1,5,5,0.6274509803921569
1,log2,1,5,6,0.6039215686274509
1,log2,1,5,7,0.611764705882353
1,log2,1,5,8,0.6039215686274509
1,log2,1,5,9,0.6039215686274509
1,log2,1,5,10,0.5803921568627451
1,log2,1,5,11,0.6235294117647059
1,log2,1,5,12,0.6039215686274509
1,log2,1,5,13,0.6078431372549019
1,log2,1,5,14,0.596078431372549
1,log2,1,5,15,0.5882352941176471
1,log2,1,5,16,0.611764705882353
1,log2,1,5,50,0.6039215686274509
1,log2,1,5,100,0.6039215686274509
1,log2,1,5,1000,0.6
1,log2,1,10,1,0.5764705882352941
1,log2,1,10,2,0.6196078431372549
1,log2,1,10,3,0.6274509803921569
1,log2,1,10,4,0.5882352941176471
1,log2,1,10,5,0.6039215686274509
1,log2,1,10,6,0.6235294117647059
1,log2,1,10,7,0.6039215686274509
1,log2,1,10,8,0.6313725490196078
1,log2,1,10,9,0.6039215686274509
1,log2,1,10,10,0.6274509803921569
1,log2,1,10,11,0.6313725490196078
1,log2,1,10,12,0.6039215686274509
1,log2,1,10,13,0.611764705882353
1,log2,1,10,14,0.611764705882353
1,log2,1,10,15,0.6078431372549019
1,log2,1,10,16,0.6078431372549019
1,log2,1,10,50,0.6039215686274509
1,log2,1,10,100,0.596078431372549
1,log2,1,10,1000,0.615686274509804
1,log2,2,2,1,0.6
1,log2,2,2,2,0.596078431372549
1,log2,2,2,3,0.6235294117647059
1,log2,2,2,4,0.6392156862745098
1,log2,2,2,5,0.6196078431372549
1,log2,2,2,6,0.6352941176470588
1,log2,2,2,7,0.6
1,log2,2,2,8,0.6274509803921569
1,log2,2,2,9,0.6078431372549019
1,log2,2,2,10,0.6
1,log2,2,2,11,0.611764705882353
1,log2,2,2,12,0.5764705882352941
1,log2,2,2,13,0.611764705882353
1,log2,2,2,14,0.611764705882353
1,log2,2,2,15,0.6352941176470588
1,log2,2,2,16,0.6196078431372549
1,log2,2,2,50,0.611764705882353
1,log2,2,2,100,0.6
1,log2,2,2,1000,0.6039215686274509
1,log2,2,5,1,0.5764705882352941
1,log2,2,5,2,0.6196078431372549
1,log2,2,5,3,0.6039215686274509
1,log2,2,5,4,0.592156862745098
1,log2,2,5,5,0.592156862745098
1,log2,2,5,6,0.6039215686274509
1,log2,2,5,7,0.6470588235294118
1,log2,2,5,8,0.6078431372549019
1,log2,2,5,9,0.6039215686274509
1,log2,2,5,10,0.592156862745098
1,log2,2,5,11,0.5843137254901961
1,log2,2,5,12,0.615686274509804
1,log2,2,5,13,0.6
1,log2,2,5,14,0.592156862745098
1,log2,2,5,15,0.592156862745098
1,log2,2,5,16,0.6274509803921569
1,log2,2,5,50,0.611764705882353
1,log2,2,5,100,0.6
1,log2,2,5,1000,0.596078431372549
1,log2,2,10,1,0.596078431372549
1,log2,2,10,2,0.5764705882352941
1,log2,2,10,3,0.6039215686274509
1,log2,2,10,4,0.611764705882353
1,log2,2,10,5,0.5803921568627451
1,log2,2,10,6,0.615686274509804
1,log2,2,10,7,0.6
1,log2,2,10,8,0.5882352941176471
1,log2,2,10,9,0.611764705882353
1,log2,2,10,10,0.6313725490196078
1,log2,2,10,11,0.6274509803921569
1,log2,2,10,12,0.5882352941176471
1,log2,2,10,13,0.592156862745098
1,log2,2,10,14,0.6
1,log2,2,10,15,0.6078431372549019
1,log2,2,10,16,0.5803921568627451
1,log2,2,10,50,0.5882352941176471
1,log2,2,10,100,0.5843137254901961
1,log2,2,10,1000,0.6039215686274509
1,log2,4,2,1,0.592156862745098
1,log2,4,2,2,0.6039215686274509
1,log2,4,2,3,0.592156862745098
1,log2,4,2,4,0.596078431372549
1,log2,4,2,5,0.5882352941176471
1,log2,4,2,6,0.6196078431372549
1,log2,4,2,7,0.6039215686274509
1,log2,4,2,8,0.611764705882353
1,log2,4,2,9,0.6352941176470588
1,log2,4,2,10,0.6
1,log2,4,2,11,0.596078431372549
1,log2,4,2,12,0.592156862745098
1,log2,4,2,13,0.6
1,log2,4,2,14,0.6039215686274509
1,log2,4,2,15,0.6039215686274509
1,log2,4,2,16,0.615686274509804
1,log2,4,2,50,0.6
1,log2,4,2,100,0.611764705882353
1,log2,4,2,1000,0.611764705882353
1,log2,4,5,1,0.6078431372549019
1,log2,4,5,2,0.6
1,log2,4,5,3,0.6078431372549019
1,log2,4,5,4,0.615686274509804
1,log2,4,5,5,0.615686274509804
1,log2,4,5,6,0.6039215686274509
1,log2,4,5,7,0.6274509803921569
1,log2,4,5,8,0.6196078431372549
1,log2,4,5,9,0.6235294117647059
1,log2,4,5,10,0.6039215686274509
1,log2,4,5,11,0.6078431372549019
1,log2,4,5,12,0.6039215686274509
1,log2,4,5,13,0.6274509803921569
1,log2,4,5,14,0.611764705882353
1,log2,4,5,15,0.6039215686274509
1,log2,4,5,16,0.6274509803921569
1,log2,4,5,50,0.5882352941176471
1,log2,4,5,100,0.596078431372549
1,log2,4,5,1000,0.6235294117647059
1,log2,4,10,1,0.6078431372549019
1,log2,4,10,2,0.6078431372549019
1,log2,4,10,3,0.596078431372549
1,log2,4,10,4,0.6196078431372549
1,log2,4,10,5,0.6352941176470588
1,log2,4,10,6,0.6039215686274509
1,log2,4,10,7,0.5843137254901961
1,log2,4,10,8,0.615686274509804
1,log2,4,10,9,0.6
1,log2,4,10,10,0.611764705882353
1,log2,4,10,11,0.611764705882353
1,log2,4,10,12,0.6
1,log2,4,10,13,0.615686274509804
1,log2,4,10,14,0.615686274509804
1,log2,4,10,15,0.6313725490196078
1,log2,4,10,16,0.6196078431372549
1,log2,4,10,50,0.592156862745098
1,log2,4,10,100,0.6078431372549019
1,log2,4,10,1000,0.6078431372549019
2,sqrt,1,2,1,0.6
2,sqrt,1,2,2,0.615686274509804
2,sqrt,1,2,3,0.6313725490196078
2,sqrt,1,2,4,0.6352941176470588
2,sqrt,1,2,5,0.6392156862745098
2,sqrt,1,2,6,0.6235294117647059
2,sqrt,1,2,7,0.5764705882352941
2,sqrt,1,2,8,0.6196078431372549
2,sqrt,1,2,9,0.6588235294117647
2,sqrt,1,2,10,0.6431372549019608
2,sqrt,1,2,11,0.6274509803921569
2,sqrt,1,2,12,0.6392156862745098
2,sqrt,1,2,13,0.6705882352941176
2,sqrt,1,2,14,0.6627450980392157
2,sqrt,1,2,15,0.6431372549019608
2,sqrt,1,2,16,0.6352941176470588
2,sqrt,1,2,50,0.6666666666666666
2,sqrt,1,2,100,0.6784313725490196
2,sqrt,1,2,1000,0.6627450980392157
2,sqrt,1,5,1,0.6235294117647059
2,sqrt,1,5,2,0.596078431372549
2,sqrt,1,5,3,0.615686274509804
2,sqrt,1,5,4,0.615686274509804
2,sqrt,1,5,5,0.6509803921568628
2,sqrt,1,5,6,0.6431372549019608
2,sqrt,1,5,7,0.6235294117647059
2,sqrt,1,5,8,0.6588235294117647
2,sqrt,1,5,9,0.6039215686274509
2,sqrt,1,5,10,0.6470588235294118
2,sqrt,1,5,11,0.6588235294117647
2,sqrt,1,5,12,0.6627450980392157
2,sqrt,1,5,13,0.6666666666666666
2,sqrt,1,5,14,0.6470588235294118
2,sqrt,1,5,15,0.6549019607843137
2,sqrt,1,5,16,0.6470588235294118
2,sqrt,1,5,50,0.6627450980392157
2,sqrt,1,5,100,0.6784313725490196
2,sqrt,1,5,1000,0.6666666666666666
2,sqrt,1,10,1,0.49019607843137253
2,sqrt,1,10,2,0.6078431372549019
2,sqrt,1,10,3,0.611764705882353
2,sqrt,1,10,4,0.6235294117647059
2,sqrt,1,10,5,0.6627450980392157
2,sqrt,1,10,6,0.6627450980392157
2,sqrt,1,10,7,0.6235294117647059
2,sqrt,1,10,8,0.6196078431372549
2,sqrt,1,10,9,0.6392156862745098
2,sqrt,1,10,10,0.6313725490196078
2,sqrt,1,10,11,0.6431372549019608
2,sqrt,1,10,12,0.6549019607843137
2,sqrt,1,10,13,0.6549019607843137
2,sqrt,1,10,14,0.6666666666666666
2,sqrt,1,10,15,0.6588235294117647
2,sqrt,1,10,16,0.6352941176470588
2,sqrt,1,10,50,0.6666666666666666
2,sqrt,1,10,100,0.6666666666666666
2,sqrt,1,10,1000,0.6549019607843137
2,sqrt,2,2,1,0.6274509803921569
2,sqrt,2,2,2,0.5843137254901961
2,sqrt,2,2,3,0.5882352941176471
2,sqrt,2,2,4,0.615686274509804
2,sqrt,2,2,5,0.6196078431372549
2,sqrt,2,2,6,0.6352941176470588
2,sqrt,2,2,7,0.6431372549019608
2,sqrt,2,2,8,0.6352941176470588
2,sqrt,2,2,9,0.6862745098039216
2,sqrt,2,2,10,0.6549019607843137
2,sqrt,2,2,11,0.6431372549019608
2,sqrt,2,2,12,0.6431372549019608
2,sqrt,2,2,13,0.6627450980392157
2,sqrt,2,2,14,0.6470588235294118
2,sqrt,2,2,15,0.6431372549019608
2,sqrt,2,2,16,0.6352941176470588
2,sqrt,2,2,50,0.6274509803921569
2,sqrt,2,2,100,0.6627450980392157
2,sqrt,2,2,1000,0.6549019607843137
2,sqrt,2,5,1,0.611764705882353
2,sqrt,2,5,2,0.615686274509804
2,sqrt,2,5,3,0.6392156862745098
2,sqrt,2,5,4,0.6392156862745098
2,sqrt,2,5,5,0.611764705882353
2,sqrt,2,5,6,0.611764705882353
2,sqrt,2,5,7,0.6196078431372549
2,sqrt,2,5,8,0.615686274509804
2,sqrt,2,5,9,0.6823529411764706
2,sqrt,2,5,10,0.6274509803921569
2,sqrt,2,5,11,0.6588235294117647
2,sqrt,2,5,12,0.6588235294117647
2,sqrt,2,5,13,0.6235294117647059
2,sqrt,2,5,14,0.6196078431372549
2,sqrt,2,5,15,0.6666666666666666
2,sqrt,2,5,16,0.6352941176470588
2,sqrt,2,5,50,0.6627450980392157
2,sqrt,2,5,100,0.6549019607843137
2,sqrt,2,5,1000,0.6627450980392157
2,sqrt,2,10,1,0.6
2,sqrt,2,10,2,0.6196078431372549
2,sqrt,2,10,3,0.6352941176470588
2,sqrt,2,10,4,0.6549019607843137
2,sqrt,2,10,5,0.6588235294117647
2,sqrt,2,10,6,0.6823529411764706
2,sqrt,2,10,7,0.6078431372549019
2,sqrt,2,10,8,0.6666666666666666
2,sqrt,2,10,9,0.6352941176470588
2,sqrt,2,10,10,0.6392156862745098
2,sqrt,2,10,11,0.6666666666666666
2,sqrt,2,10,12,0.611764705882353
2,sqrt,2,10,13,0.6313725490196078
2,sqrt,2,10,14,0.6509803921568628
2,sqrt,2,10,15,0.6784313725490196
2,sqrt,2,10,16,0.6352941176470588
2,sqrt,2,10,50,0.6627450980392157
2,sqrt,2,10,100,0.6745098039215687
2,sqrt,2,10,1000,0.6509803921568628
2,sqrt,4,2,1,0.6313725490196078
2,sqrt,4,2,2,0.6196078431372549
2,sqrt,4,2,3,0.6431372549019608
2,sqrt,4,2,4,0.6313725490196078
2,sqrt,4,2,5,0.6235294117647059
2,sqrt,4,2,6,0.6196078431372549
2,sqrt,4,2,7,0.6470588235294118
2,sqrt,4,2,8,0.6274509803921569
2,sqrt,4,2,9,0.6745098039215687
2,sqrt,4,2,10,0.6274509803921569
2,sqrt,4,2,11,0.596078431372549
2,sqrt,4,2,12,0.6862745098039216
2,sqrt,4,2,13,0.6588235294117647
2,sqrt,4,2,14,0.6431372549019608
2,sqrt,4,2,15,0.6274509803921569
2,sqrt,4,2,16,0.6509803921568628
2,sqrt,4,2,50,0.6470588235294118
2,sqrt,4,2,100,0.6705882352941176
2,sqrt,4,2,1000,0.6549019607843137
2,sqrt,4,5,1,0.6196078431372549
2,sqrt,4,5,2,0.6078431372549019
2,sqrt,4,5,3,0.611764705882353
2,sqrt,4,5,4,0.6352941176470588
2,sqrt,4,5,5,0.6588235294117647
2,sqrt,4,5,6,0.6235294117647059
2,sqrt,4,5,7,0.6509803921568628
2,sqrt,4,5,8,0.6274509803921569
2,sqrt,4,5,9,0.6549019607843137
2,sqrt,4,5,10,0.6549019607843137
2,sqrt,4,5,11,0.6392156862745098
2,sqrt,4,5,12,0.6549019607843137
2,sqrt,4,5,13,0.6352941176470588
2,sqrt,4,5,14,0.6705882352941176
2,sqrt,4,5,15,0.6470588235294118
2,sqrt,4,5,16,0.6784313725490196
2,sqrt,4,5,50,0.6549019607843137
2,sqrt,4,5,100,0.6588235294117647
2,sqrt,4,5,1000,0.6745098039215687
2,sqrt,4,10,1,0.6470588235294118
2,sqrt,4,10,2,0.6431372549019608
2,sqrt,4,10,3,0.5843137254901961
2,sqrt,4,10,4,0.6235294117647059
2,sqrt,4,10,5,0.6431372549019608
2,sqrt,4,10,6,0.6784313725490196
2,sqrt,4,10,7,0.6392156862745098
2,sqrt,4,10,8,0.6509803921568628
2,sqrt,4,10,9,0.6549019607843137
2,sqrt,4,10,10,0.6392156862745098
2,sqrt,4,10,11,0.592156862745098
2,sqrt,4,10,12,0.6627450980392157
2,sqrt,4,10,13,0.6509803921568628
2,sqrt,4,10,14,0.6627450980392157
2,sqrt,4,10,15,0.6627450980392157
2,sqrt,4,10,16,0.6627450980392157
2,sqrt,4,10,50,0.6196078431372549
2,sqrt,4,10,100,0.6666666666666666
2,sqrt,4,10,1000,0.6784313725490196
2,log2,1,2,1,0.5215686274509804
2,log2,1,2,2,0.611764705882353
2,log2,1,2,3,0.6
2,log2,1,2,4,0.6705882352941176
2,log2,1,2,5,0.6392156862745098
2,log2,1,2,6,0.6666666666666666
2,log2,1,2,7,0.6509803921568628
2,log2,1,2,8,0.6627450980392157
2,log2,1,2,9,0.615686274509804
2,log2,1,2,10,0.6235294117647059
2,log2,1,2,11,0.615686274509804
2,log2,1,2,12,0.6235294117647059
2,log2,1,2,13,0.6352941176470588
2,log2,1,2,14,0.6313725490196078
2,log2,1,2,15,0.6313725490196078
2,log2,1,2,16,0.6352941176470588
2,log2,1,2,50,0.6745098039215687
2,log2,1,2,100,0.6509803921568628
2,log2,1,2,1000,0.6705882352941176
2,log2,1,5,1,0.6039215686274509
2,log2,1,5,2,0.6627450980392157
2,log2,1,5,3,0.5725490196078431
2,log2,1,5,4,0.6352941176470588
2,log2,1,5,5,0.6627450980392157
2,log2,1,5,6,0.5803921568627451
2,log2,1,5,7,0.6313725490196078
2,log2,1,5,8,0.6352941176470588
2,log2,1,5,9,0.6588235294117647
2,log2,1,5,10,0.6470588235294118
2,log2,1,5,11,0.6470588235294118
2,log2,1,5,12,0.6588235294117647
2,log2,1,5,13,0.6549019607843137
2,log2,1,5,14,0.6627450980392157
2,log2,1,5,15,0.6392156862745098
2,log2,1,5,16,0.6549019607843137
2,log2,1,5,50,0.6588235294117647
2,log2,1,5,100,0.6549019607843137
2,log2,1,5,1000,0.6745098039215687
2,log2,1,10,1,0.611764705882353
2,log2,1,10,2,0.6627450980392157
2,log2,1,10,3,0.6313725490196078
2,log2,1,10,4,0.5843137254901961
2,log2,1,10,5,0.6235294117647059
2,log2,1,10,6,0.6392156862745098
2,log2,1,10,7,0.6588235294117647
2,log2,1,10,8,0.6509803921568628
2,log2,1,10,9,0.6666666666666666
2,log2,1,10,10,0.6196078431372549
2,log2,1,10,11,0.5803921568627451
2,log2,1,10,12,0.6392156862745098
2,log2,1,10,13,0.6431372549019608
2,log2,1,10,14,0.6431372549019608
2,log2,1,10,15,0.6313725490196078
2,log2,1,10,16,0.6352941176470588
2,log2,1,10,50,0.6431372549019608
2,log2,1,10,100,0.6705882352941176
2,log2,1,10,1000,0.6666666666666666
2,log2,2,2,1,0.5176470588235295
2,log2,2,2,2,0.6509803921568628
2,log2,2,2,3,0.596078431372549
2,log2,2,2,4,0.6313725490196078
2,log2,2,2,5,0.6235294117647059
2,log2,2,2,6,0.6588235294117647
2,log2,2,2,7,0.6431372549019608
2,log2,2,2,8,0.6392156862745098
2,log2,2,2,9,0.6352941176470588
2,log2,2,2,10,0.6509803921568628
2,log2,2,2,11,0.6588235294117647
2,log2,2,2,12,0.6313725490196078
2,log2,2,2,13,0.6431372549019608
2,log2,2,2,14,0.6588235294117647
2,log2,2,2,15,0.6352941176470588
2,log2,2,2,16,0.6470588235294118
